MapCHECK 3 Measurement File:	Measured File

Header:
File Revision:	A
File Name:	H:\Physics\Share\MapCHECK\MapCHECK_QA\276477001(Essen)\2025\6\Linearity_1000MU_4-Jun-2025-A.txt
Date:	06/04/25	Time:	21:44:18	
Calibration File:	6x_newMapcheck.cal
Software Version:	8.6.0.76

	Device Config
Model:	1178 MapCHECK 3
Serial:	276477001
Hardware Revision:	E3\D3
Firmware Version:	1.00.01.00
FPGA Version:	1.0.0
Diode Type:	4
EIB Total Counts:	17015502	15690259
Collection Interval:	50	ms

	Device Setup
Beam Energy:	6	MV
MapPHAN:	0	
Orientation:	0

	Dose Calibration
Dose Per Count:	2.363315171e-05
Energy:	6x
Time Stamp:	1749090200
Temperature:	19.95342752	C
Comments:	6x       BR3_6/4/2025

	Data Corrections Applied
Absolute Dose:	1
Temperature:	1
Angular:	1
Field Size:	0

	Measurement Info
Delivery Type:	VMAT
Temperature:	20.066
Update Count:	2122
Backgrounds Count:	1
Total Pulses:	39908
Total Time:	115450	ms
Beam ON Time:	106050	ms
CaxY:	33
CaxX:	27
Row Counts in 2D:	65
Col Counts in 2D:	53

Background
Ycm	ROW	
6.0	45	0.021120675861628	0.000000000000000	-0.014080450574418	0.000000000000000	-0.003680117763768	0.000000000000000	0.008960286729175	0.000000000000000	0.044193414189254	0.000000000000000	0.018592594963039	0.000000000000000	0.041473327146469	0.000000000000000	0.035873147940734	0.000000000000000	0.036993183781881	0.000000000000000	0.011328362507600	0.000000000000000	-0.005216166917341	0.000000000000000	0.074018368587795	0.000000000000000	0.012864411661173	0.000000000000000	0.019104611347563	0.000000000000000	0.028960926749656	0.000000000000000	0.023104739351659	0.000000000000000	0.032993055777785	0.000000000000000	0.006656212998816	0.000000000000000	0.026080834586707	0.000000000000000	0.030208966686934	0.000000000000000	-0.007232231431406	0.000000000000000	0.043809401900861	0.000000000000000	0.025088802841691	0.000000000000000	-0.025696822298314	0.000000000000000	-0.007776248839963	0.000000000000000	-0.014208454670549	0.000000000000000	0.014528464910877
5.5	44	0.000000000000000	0.017664565266089	0.000000000000000	0.003136100355211	0.000000000000000	0.031040993311786	0.000000000000000	0.010944350219207	0.000000000000000	0.022240711702774	0.000000000000000	0.017760568338187	0.000000000000000	0.027936893980607	0.000000000000000	0.026432845851067	0.000000000000000	0.023968767000544	0.000000000000000	0.008032257032225	0.000000000000000	0.003776120835867	0.000000000000000	-0.000896028672918	0.000000000000000	-0.004000128004096	0.000000000000000	-0.005760184325898	0.000000000000000	-0.003936125956031	0.000000000000000	-0.008544273416749	0.000000000000000	-0.003584114691670	0.000000000000000	-0.000768024576786	0.000000000000000	-0.001440046081475	0.000000000000000	-0.005728183301866	0.000000000000000	-0.000384012288393	0.000000000000000	-0.021760696342283	0.000000000000000	0.000544017408557	0.000000000000000	-0.002656084994720	0.000000000000000	-0.001824058369868	0.000000000000000	-0.000544017408557	0.000000000000000
5.0	43	0.015488495631860	0.000000000000000	-0.004768152580883	0.000000000000000	0.017920573458351	0.000000000000000	0.035585138724439	0.000000000000000	0.060769944638228	0.000000000000000	0.029056929821754	0.000000000000000	0.014528464910877	0.000000000000000	0.040961310761944	0.000000000000000	-0.002688086018753	0.000000000000000	0.024704790553298	0.000000000000000	0.003968126980063	0.000000000000000	0.022304713750840	0.000000000000000	0.049825594419021	0.000000000000000	0.052193670197446	0.000000000000000	0.044961438766041	0.000000000000000	0.026560849947198	0.000000000000000	0.042913373227943	0.000000000000000	0.045505456174598	0.000000000000000	0.024640788505232	0.000000000000000	0.035201126436046	0.000000000000000	0.032097027104867	0.000000000000000	0.037217190950110	0.000000000000000	0.039457262632404	0.000000000000000	-0.029504944158213	0.000000000000000	-0.015136484367500	0.000000000000000	0.000672021504688	0.000000000000000	-0.007136228359307
4.5	42	0.000000000000000	0.023936765976511	0.000000000000000	0.019296617491760	0.000000000000000	0.016032513040417	0.000000000000000	0.035553137700406	0.000000000000000	0.017024544785433	0.000000000000000	0.025696822298314	0.000000000000000	0.032577042465359	0.000000000000000	0.012416397324714	0.000000000000000	0.033601075234408	0.000000000000000	0.019744631828219	0.000000000000000	-0.003936125956031	0.000000000000000	-0.005760184325898	0.000000000000000	0.010624339978879	0.000000000000000	-0.007808249863996	0.000000000000000	0.001536049153573	0.000000000000000	-0.002560081922622	0.000000000000000	-0.004672149508784	0.000000000000000	-0.009216294921437	0.000000000000000	0.001664053249704	0.000000000000000	0.000928029696950	0.000000000000000	0.005408173061538	0.000000000000000	0.002368075778425	0.000000000000000	0.001216038913245	0.000000000000000	0.004928157701046	0.000000000000000	-0.001632052225671	0.000000000000000	-0.011936381964223	0.000000000000000
4.0	41	0.027136868379788	0.000000000000000	-0.007168229383340	0.000000000000000	0.026624851995264	0.000000000000000	0.029440942110148	0.000000000000000	0.034049089570866	0.000000000000000	0.042209350699222	0.000000000000000	0.062626004032129	0.000000000000000	0.053409709110692	0.000000000000000	0.032513040417293	0.000000000000000	0.031265000480015	0.000000000000000	0.036641172517521	0.000000000000000	0.033249063970047	0.000000000000000	0.063714038849243	0.000000000000000	0.079330538577234	0.000000000000000	0.066082114627668	0.000000000000000	0.031425005600179	0.000000000000000	0.021920701462447	0.000000000000000	0.036417165349291	0.000000000000000	0.026144836634772	0.000000000000000	0.013312425997632	0.000000000000000	0.047073506352203	0.000000000000000	0.008288265224487	0.000000000000000	0.013824442382156	0.000000000000000	-0.023456750616020	0.000000000000000	-0.012352395276649	0.000000000000000	-0.011520368651797	0.000000000000000	-0.017056545809466
3.5	40	0.000000000000000	0.021472687125988	0.000000000000000	0.015616499727991	0.000000000000000	0.011648372747928	0.000000000000000	0.010240327690486	0.000000000000000	0.026720855067362	0.000000000000000	0.029056929821754	0.000000000000000	0.021536689174054	0.000000000000000	0.021760696342283	0.000000000000000	-0.009280296969503	0.000000000000000	-0.025408813082019	0.000000000000000	0.002592082946654	0.000000000000000	0.000416013312426	0.000000000000000	-0.002112067586163	0.000000000000000	-0.002720087042785	0.000000000000000	-0.003936125956031	0.000000000000000	0.005696182277833	0.000000000000000	0.004000128004096	0.000000000000000	-0.010976351243240	0.000000000000000	-0.003616115715703	0.000000000000000	-0.003648116739736	0.000000000000000	-0.003872123907965	0.000000000000000	-0.002592082946654	0.000000000000000	0.017344555025761	0.000000000000000	0.010592338954847	0.000000000000000	-0.001792057345835	0.000000000000000	-0.000160005120164	0.000000000000000
3.0	39	0.005856187397997	0.000000000000000	-0.030208966686934	0.000000000000000	0.067586162757208	0.000000000000000	0.021472687125988	0.000000000000000	0.070722263112420	0.000000000000000	0.014240455694582	0.000000000000000	0.035265128484111	0.000000000000000	0.025600819226215	0.000000000000000	-0.012800409613108	0.000000000000000	0.006976223239144	0.000000000000000	0.009440302089667	0.000000000000000	0.034945118243784	0.000000000000000	0.036577170469455	0.000000000000000	0.065090082882652	0.000000000000000	0.069922237511600	0.000000000000000	0.058081858619476	0.000000000000000	0.038369227815290	0.000000000000000	0.017248551953663	0.000000000000000	0.032865051681654	0.000000000000000	0.020416653332907	0.000000000000000	0.028544913437230	0.000000000000000	0.024192774168773	0.000000000000000	0.003936125956031	0.000000000000000	-0.004576146436686	0.000000000000000	-0.005056161797178	0.000000000000000	-0.002112067586163	0.000000000000000	0.003328106499408
2.5	38	0.000000000000000	-0.001696054273737	0.000000000000000	0.006496207878652	0.000000000000000	-0.006720215046882	0.000000000000000	0.007872251912061	0.000000000000000	0.018656597011104	0.000000000000000	0.022912733207463	0.000000000000000	0.021856699414381	0.000000000000000	0.008384268296585	0.000000000000000	0.024704790553298	0.000000000000000	0.002144068610196	0.000000000000000	0.000640020480655	0.000000000000000	0.007520240647701	0.000000000000000	0.000576018432590	0.000000000000000	0.000352011264360	0.000000000000000	-0.001600051201638	0.000000000000000	-0.001152036865180	0.000000000000000	-0.016320522256712	0.000000000000000	0.005568178181702	0.000000000000000	0.006048193542193	0.000000000000000	0.001344043009376	0.000000000000000	-0.011232359435502	0.000000000000000	-0.000608019456623	0.000000000000000	0.011136356363404	0.000000000000000	0.004512144388620	0.000000000000000	-0.004256136196358	0.000000000000000	-0.011584370699862	0.000000000000000
2.0	37	0.016352523280745	0.000000000000000	0.005632180229767	0.000000000000000	0.021312682005824	0.000000000000000	0.025632820250248	0.000000000000000	0.016672533521073	0.000000000000000	0.034273096739096	0.000000000000000	0.031457006624212	0.000000000000000	0.037537201190438	0.000000000000000	0.035233127460079	0.000000000000000	-0.003520112643605	0.000000000000000	0.004512144388620	0.000000000000000	0.024512784409101	0.000000000000000	0.056353803321706	0.000000000000000	0.057345835066722	0.000000000000000	0.067426157637044	0.000000000000000	0.044481423405549	0.000000000000000	0.018176581650613	0.000000000000000	0.029184933917885	0.000000000000000	0.030624979999360	0.000000000000000	0.014592466958943	0.000000000000000	0.018112579602547	0.000000000000000	0.007456238599635	0.000000000000000	-0.008704278536913	0.000000000000000	-0.004672149508784	0.000000000000000	0.002656084994720	0.000000000000000	0.002848091138916	0.000000000000000	0.003104099331179
1.5	36	0.000000000000000	0.021792697366316	0.000000000000000	0.002336074754392	0.000000000000000	0.019296617491760	0.000000000000000	0.019072610323530	0.000000000000000	0.014496463886844	0.000000000000000	0.019872635924350	0.000000000000000	0.003872123907965	0.000000000000000	0.029696950302410	0.000000000000000	0.024480783385068	0.000000000000000	-0.000256008192262	0.000000000000000	-0.000160005120164	0.000000000000000	-0.003424109571506	0.000000000000000	-0.005504176133636	0.000000000000000	-0.002176069634228	0.000000000000000	0.003648116739736	0.000000000000000	-0.007840250888028	0.000000000000000	-0.013536433165861	0.000000000000000	-0.004896156677014	0.000000000000000	0.004448142340555	0.000000000000000	0.002528080898589	0.000000000000000	-0.004800153604915	0.000000000000000	-0.006976223239144	0.000000000000000	0.017216550929630	0.000000000000000	0.009344299017569	0.000000000000000	-0.000096003072098	0.000000000000000	0.011520368651797	0.000000000000000
1.0	35	0.016032513040417	0.000000000000000	-0.027648884764312	0.000000000000000	-0.009920317450158	0.000000000000000	0.027712886812378	0.000000000000000	0.021504688150021	0.000000000000000	0.033601075234408	0.000000000000000	0.053121699894397	0.000000000000000	0.022624723991168	0.000000000000000	0.037793209382700	0.000000000000000	0.042049345579059	0.000000000000000	0.029536945182246	0.000000000000000	0.021184677909693	0.000000000000000	-0.000320010240328	0.000000000000000	0.011936381964223	0.000000000000000	0.058721879100131	0.000000000000000	0.025280808985888	0.000000000000000	0.010368331786617	0.000000000000000	0.040065282089027	0.000000000000000	0.036129156132996	0.000000000000000	0.019680629780153	0.000000000000000	0.030976991263720	0.000000000000000	0.030176965662901	0.000000000000000	0.002240071682294	0.000000000000000	-0.020800665621300	0.000000000000000	-0.011936381964223	0.000000000000000	0.010528336906781	0.000000000000000	-0.013600435213927
0.5	34	0.000000000000000	0.023968767000544	0.000000000000000	0.004512144388620	0.000000000000000	0.012064386060354	0.000000000000000	0.017312554001728	0.000000000000000	0.026304841754936	0.000000000000000	0.018176581650613	0.000000000000000	0.019264616467727	0.000000000000000	0.016704534545105	0.000000000000000	0.024928797721527	0.000000000000000	-0.008704278536913	0.000000000000000	-0.002176069634228	0.000000000000000	0.010912349195174	0.000000000000000	-0.001248039937278	0.000000000000000	0.007360235527537	0.000000000000000	-0.011136356363404	0.000000000000000	-0.003648116739736	0.000000000000000	-0.003744119811834	0.000000000000000	-0.000288009216295	0.000000000000000	-0.006048193542193	0.000000000000000	0.000512016384524	0.000000000000000	0.001760056321802	0.000000000000000	0.002944094211015	0.000000000000000	0.022048705558578	0.000000000000000	-0.003168101379244	0.000000000000000	-0.005824186373964	0.000000000000000	0.000288009216295	0.000000000000000
0.0	33	0.000576018432590	0.000000000000000	0.024128772120708	0.000000000000000	0.055873787961215	0.000000000000000	0.042945374251976	0.000000000000000	0.017024544785433	0.000000000000000	0.010880348171141	0.000000000000000	0.018944606227399	0.000000000000000	-0.001696054273737	0.000000000000000	0.049889596467087	0.000000000000000	0.029600947230311	0.000000000000000	0.008576274440782	0.000000000000000	0.038721239079651	0.000000000000000	0.051233639476463	0.000000000000000	0.028448910365132	0.000000000000000	0.042561361963583	0.000000000000000	0.006400204806554	0.000000000000000	0.028512912413197	0.000000000000000	0.006912221191078	0.000000000000000	0.033505072162309	0.000000000000000	0.040385292329355	0.000000000000000	0.030496975903229	0.000000000000000	0.013984447502320	0.000000000000000	-0.004096131076194	0.000000000000000	0.005440174085571	0.000000000000000	-0.004928157701046	0.000000000000000	0.002560081922622	0.000000000000000	-0.012352395276649
-0.5	32	0.000000000000000	0.017408557073826	0.000000000000000	0.001824058369868	0.000000000000000	0.001472047105507	0.000000000000000	0.007328234503504	0.000000000000000	0.031200998431950	0.000000000000000	0.015136484367500	0.000000000000000	0.023072738327626	0.000000000000000	0.035745143844603	0.000000000000000	0.025504816154117	0.000000000000000	0.004864155652981	0.000000000000000	0.016480527376876	0.000000000000000	0.009984319498224	0.000000000000000	0.005728183301866	0.000000000000000	0.000000000000000	0.000000000000000	0.003936125956031	0.000000000000000	-0.014592466958943	0.000000000000000	0.003328106499408	0.000000000000000	0.002400076802458	0.000000000000000	-0.003936125956031	0.000000000000000	0.003456110595539	0.000000000000000	-0.001248039937278	0.000000000000000	0.001504048129540	0.000000000000000	0.001824058369868	0.000000000000000	0.013760440334091	0.000000000000000	-0.003328106499408	0.000000000000000	-0.004480143364588	0.000000000000000
-1.0	31	0.008512272392717	0.000000000000000	-0.017056545809466	0.000000000000000	0.020384652308874	0.000000000000000	0.035297129508144	0.000000000000000	0.016960542737368	0.000000000000000	0.018144580626580	0.000000000000000	0.014720471055074	0.000000000000000	0.033121059873916	0.000000000000000	0.020512656405005	0.000000000000000	0.050049601587251	0.000000000000000	0.019904636948382	0.000000000000000	0.048161541169317	0.000000000000000	0.056321802297674	0.000000000000000	0.021664693270185	0.000000000000000	0.034753112099587	0.000000000000000	0.017920573458351	0.000000000000000	0.031969023008736	0.000000000000000	0.007360235527537	0.000000000000000	0.021664693270185	0.000000000000000	0.013504432141829	0.000000000000000	0.024736791577330	0.000000000000000	0.007456238599635	0.000000000000000	-0.004128132100227	0.000000000000000	0.003616115715703	0.000000000000000	-0.012928413709239	0.000000000000000	0.013760440334091	0.000000000000000	-0.005024160773145
-1.5	30	0.000000000000000	0.020128644116612	0.000000000000000	0.009728311305962	0.000000000000000	0.007968254984159	0.000000000000000	0.002880092162949	0.000000000000000	0.016544529424942	0.000000000000000	0.020128644116612	0.000000000000000	0.029888956446606	0.000000000000000	0.027808889884476	0.000000000000000	0.034209094691030	0.000000000000000	-0.005536177157669	0.000000000000000	0.005024160773145	0.000000000000000	0.008352267272553	0.000000000000000	-0.002080066562130	0.000000000000000	0.007744247815930	0.000000000000000	-0.013824442382156	0.000000000000000	-0.007232231431406	0.000000000000000	0.002656084994720	0.000000000000000	-0.004576146436686	0.000000000000000	-0.007968254984159	0.000000000000000	0.000160005120164	0.000000000000000	-0.003648116739736	0.000000000000000	0.000640020480655	0.000000000000000	-0.003360107523441	0.000000000000000	0.003392108547474	0.000000000000000	0.005088162821210	0.000000000000000	0.005312169989440	0.000000000000000
-2.0	29	0.001248039937278	0.000000000000000	-0.003232103427310	0.000000000000000	0.029952958494672	0.000000000000000	0.023424749591987	0.000000000000000	0.016192518160581	0.000000000000000	0.017152548881564	0.000000000000000	0.019840634900317	0.000000000000000	0.028096899100771	0.000000000000000	0.034177093666997	0.000000000000000	0.037185189926078	0.000000000000000	0.006304201734456	0.000000000000000	0.028672917533361	0.000000000000000	0.012320394252616	0.000000000000000	0.044417421357483	0.000000000000000	0.015040481295401	0.000000000000000	0.037057185829947	0.000000000000000	0.033665077282473	0.000000000000000	0.013216422925534	0.000000000000000	0.011712374795993	0.000000000000000	0.023328746519889	0.000000000000000	-0.001408045057442	0.000000000000000	0.008672277512880	0.000000000000000	-0.017632564242056	0.000000000000000	-0.025184805913789	0.000000000000000	-0.015040481295401	0.000000000000000	-0.012128388108419	0.000000000000000	-0.004160133124260
-2.5	28	0.000000000000000	0.014624467982975	0.000000000000000	0.000000000000000	0.000000000000000	0.027264872475919	0.000000000000000	0.006656212998816	0.000000000000000	0.028896924701590	0.000000000000000	-0.010912349195174	0.000000000000000	0.018016576530449	0.000000000000000	0.015264488463631	0.000000000000000	0.019136612371596	0.000000000000000	-0.016768536593171	0.000000000000000	0.003616115715703	0.000000000000000	0.002048065538097	0.000000000000000	0.008992287753208	0.000000000000000	0.006144196614292	0.000000000000000	0.002912093186982	0.000000000000000	0.016768536593171	0.000000000000000	-0.008352267272553	0.000000000000000	0.006208198662357	0.000000000000000	-0.014592466958943	0.000000000000000	-0.009856315402093	0.000000000000000	0.002560081922622	0.000000000000000	0.013472431117796	0.000000000000000	0.010880348171141	0.000000000000000	-0.005760184325898	0.000000000000000	-0.003840122883932	0.000000000000000	-0.009120291849339	0.000000000000000
-3.0	27	-0.009824314378060	0.000000000000000	0.040513296425486	0.000000000000000	0.005376172037505	0.000000000000000	0.048417549361580	0.000000000000000	0.015296489487664	0.000000000000000	0.016320522256712	0.000000000000000	0.010656341002912	0.000000000000000	0.016448526352843	0.000000000000000	0.018528592914973	0.000000000000000	0.022528720919069	0.000000000000000	-0.020096643092579	0.000000000000000	0.010560337930814	0.000000000000000	0.008640276488848	0.000000000000000	0.020768664597267	0.000000000000000	0.009664309257896	0.000000000000000	-0.001824058369868	0.000000000000000	-0.004160133124260	0.000000000000000	-0.014656469007008	0.000000000000000	-0.008448270344651	0.000000000000000	0.001632052225671	0.000000000000000	-0.013120419853435	0.000000000000000	-0.016320522256712	0.000000000000000	-0.016448526352843	0.000000000000000	-0.021376684053890	0.000000000000000	0.000096003072098	0.000000000000000	-0.004992159749112	0.000000000000000	-0.004832154628948
-3.5	26	0.000000000000000	0.003648116739736	0.000000000000000	0.011232359435502	0.000000000000000	0.014944478223303	0.000000000000000	0.023456750616020	0.000000000000000	0.003648116739736	0.000000000000000	0.013888444430222	0.000000000000000	0.005920189446062	0.000000000000000	0.011552369675830	0.000000000000000	0.025216806937822	0.000000000000000	-0.006304201734456	0.000000000000000	0.005088162821210	0.000000000000000	0.006240199686390	0.000000000000000	-0.002176069634228	0.000000000000000	0.008544273416749	0.000000000000000	-0.003264104451342	0.000000000000000	0.014240455694582	0.000000000000000	0.000896028672918	0.000000000000000	-0.005856187397997	0.000000000000000	-0.001504048129540	0.000000000000000	0.000096003072098	0.000000000000000	0.004800153604915	0.000000000000000	-0.001216038913245	0.000000000000000	-0.017376556049794	0.000000000000000	-0.000032001024033	0.000000000000000	-0.001440046081475	0.000000000000000	0.001248039937278	0.000000000000000
-4.0	25	0.009984319498224	0.000000000000000	-0.022816730135364	0.000000000000000	0.015008480271369	0.000000000000000	0.013248423949566	0.000000000000000	0.000352011264360	0.000000000000000	0.018400588818842	0.000000000000000	0.020896668693398	0.000000000000000	0.016672533521073	0.000000000000000	0.036993183781881	0.000000000000000	0.024800793625396	0.000000000000000	-0.010720343050978	0.000000000000000	0.012160389132452	0.000000000000000	0.021664693270185	0.000000000000000	0.021408685077922	0.000000000000000	0.015104483343467	0.000000000000000	0.005344171013472	0.000000000000000	0.010080322570322	0.000000000000000	0.011008352267273	0.000000000000000	-0.002944094211015	0.000000000000000	-0.014208454670549	0.000000000000000	-0.006304201734456	0.000000000000000	-0.009024288777241	0.000000000000000	-0.008544273416749	0.000000000000000	0.003104099331179	0.000000000000000	-0.018400588818842	0.000000000000000	-0.014816474127172	0.000000000000000	-0.014240455694582
-4.5	24	0.000000000000000	0.007328234503504	0.000000000000000	0.001664053249704	0.000000000000000	0.010752344075010	0.000000000000000	0.019456622611924	0.000000000000000	0.020064642068546	0.000000000000000	0.019520624659989	0.000000000000000	0.036161157157029	0.000000000000000	0.032577042465359	0.000000000000000	0.000288009216295	0.000000000000000	0.001888060417933	0.000000000000000	0.021408685077922	0.000000000000000	0.014560465934910	0.000000000000000	0.003264104451342	0.000000000000000	0.022464718871004	0.000000000000000	0.029088930845787	0.000000000000000	-0.008416269320618	0.000000000000000	0.004384140292489	0.000000000000000	0.030912989215655	0.000000000000000	-0.015776504848155	0.000000000000000	-0.002048065538097	0.000000000000000	-0.000832026624852	0.000000000000000	0.006976223239144	0.000000000000000	-0.004096131076194	0.000000000000000	0.007840250888028	0.000000000000000	0.000160005120164	0.000000000000000	0.005824186373964	0.000000000000000
-5.0	23	0.024896796697494	0.000000000000000	0.013312425997632	0.000000000000000	-0.024512784409101	0.000000000000000	-0.008800281609011	0.000000000000000	0.007712246791897	0.000000000000000	0.029056929821754	0.000000000000000	0.034593106979423	0.000000000000000	0.006560209926718	0.000000000000000	0.040705302569682	0.000000000000000	0.024832794649429	0.000000000000000	-0.007808249863996	0.000000000000000	-0.003968126980063	0.000000000000000	0.002176069634228	0.000000000000000	-0.007904252936094	0.000000000000000	-0.005632180229767	0.000000000000000	-0.009376300041601	0.000000000000000	0.004032129028129	0.000000000000000	0.003008096259080	0.000000000000000	-0.003040097283113	0.000000000000000	0.000032001024033	0.000000000000000	-0.009440302089667	0.000000000000000	-0.010944350219207	0.000000000000000	-0.008128260104323	0.000000000000000	0.006112195590259	0.000000000000000	-0.031553009696310	0.000000000000000	-0.016320522256712	0.000000000000000	0.002048065538097
-5.5	22	0.000000000000000	0.022528720919069	0.000000000000000	0.004576146436686	0.000000000000000	0.025376812057986	0.000000000000000	0.012960414733271	0.000000000000000	0.005792185349931	0.000000000000000	0.019136612371596	0.000000000000000	0.021856699414381	0.000000000000000	0.021568690198086	0.000000000000000	0.039841274920797	0.000000000000000	0.007616243719799	0.000000000000000	0.006720215046882	0.000000000000000	0.012320394252616	0.000000000000000	0.009568306185798	0.000000000000000	0.010976351243240	0.000000000000000	0.010528336906781	0.000000000000000	0.008192262152389	0.000000000000000	0.007360235527537	0.000000000000000	0.005920189446062	0.000000000000000	-0.002144068610196	0.000000000000000	-0.025184805913789	0.000000000000000	-0.001792057345835	0.000000000000000	0.000992031745016	0.000000000000000	-0.002592082946654	0.000000000000000	0.001312041985344	0.000000000000000	0.007520240647701	0.000000000000000	-0.010240327690486	0.000000000000000
-6.0	21	0.000160005120164	0.000000000000000	0.028448910365132	0.000000000000000	0.036961182757848	0.000000000000000	0.014720471055074	0.000000000000000	0.004384140292489	0.000000000000000	0.037281192998176	0.000000000000000	0.014176453646517	0.000000000000000	-0.000384012288393	0.000000000000000	0.018944606227399	0.000000000000000	0.048673557553842	0.000000000000000	-0.001920061441966	0.000000000000000	0.016288521232679	0.000000000000000	0.007008224263176	0.000000000000000	-0.020352651284841	0.000000000000000	0.004384140292489	0.000000000000000	-0.013600435213927	0.000000000000000	0.000352011264360	0.000000000000000	0.004000128004096	0.000000000000000	0.000064002048066	0.000000000000000	-0.021408685077922	0.000000000000000	-0.005824186373964	0.000000000000000	-0.017056545809466	0.000000000000000	-0.006400204806554	0.000000000000000	-0.026528848923166	0.000000000000000	-0.018016576530449	0.000000000000000	0.009792313354027	0.000000000000000	-0.021664693270185
-6.5	20	0.000000000000000	0.028128900124804	0.000000000000000	0.023456750616020	0.000000000000000	0.025664821274281	0.000000000000000	0.026144836634772	0.000000000000000	0.007584242695766	0.000000000000000	0.008384268296585	0.000000000000000	0.004608147460719	0.000000000000000	0.008256264200454	0.000000000000000	0.023456750616020	0.000000000000000	0.003328106499408	0.000000000000000	0.001888060417933	0.000000000000000	0.005568178181702	0.000000000000000	0.006432205830587	0.000000000000000	-0.001856059393901	0.000000000000000	0.015872507920253	0.000000000000000	0.008800281609011	0.000000000000000	0.006368203782521	0.000000000000000	0.005568178181702	0.000000000000000	-0.004544145412653	0.000000000000000	-0.010432333834683	0.000000000000000	-0.006144196614292	0.000000000000000	0.008768280584979	0.000000000000000	-0.007104227335275	0.000000000000000	0.004192134148293	0.000000000000000	0.002496079874556	0.000000000000000	0.010944350219207	0.000000000000000
-7.0	19	0.031521008672278	0.000000000000000	0.016736535569138	0.000000000000000	0.029376940062082	0.000000000000000	0.057121827898493	0.000000000000000	0.039009248295945	0.000000000000000	0.036225159205095	0.000000000000000	0.014688470031041	0.000000000000000	0.017056545809466	0.000000000000000	0.019392620563858	0.000000000000000	0.018208582674646	0.000000000000000	0.000192006144197	0.000000000000000	0.007616243719799	0.000000000000000	0.003424109571506	0.000000000000000	-0.013344427021665	0.000000000000000	-0.010368331786617	0.000000000000000	-0.015232487439598	0.000000000000000	-0.000288009216295	0.000000000000000	-0.015776504848155	0.000000000000000	-0.014976479247336	0.000000000000000	-0.005056161797178	0.000000000000000	-0.009984319498224	0.000000000000000	-0.003744119811834	0.000000000000000	-0.009376300041601	0.000000000000000	-0.007552241671733	0.000000000000000	-0.013440430093763	0.000000000000000	-0.008160261128356	0.000000000000000	-0.004896156677014
